Equipment,./city-of-london.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./city-of-london.csv,Custodian style Police Helmet,,,,Not bought. The force purchased 132 standard (not custodian) helmets at £52.80 on 23/11/10. This stock has lasted longer than planned.
Equipment,./city-of-london.csv,Fleece,,,,Not bought. The force purchased (male/female) pullovers at £43.90 in June-August 2010. This stock has lasted longer than planned. The force plans to replace this item of uniform with new style clothing in September 2015.
Equipment,./city-of-london.csv,Trousers,11.50,44,2014-10-16,The force plans to replace this item of uniform with new style clothing in September 2015.
Equipment,./city-of-london.csv,Shirt,5.15,204,2014-10-09,"Long-sleeved male shirts, long-sleeved female shirts £4.83 on 14/08/14. The force plans to replace this item of uniform with new style clothing in September 2015."
Equipment,./city-of-london.csv,Epaulettes,1.51,50,2015-06-09,
Equipment,./city-of-london.csv,Belt,4.40,160,2014-01-09,Leather belts.
Equipment,./city-of-london.csv,Anorak/ waterproof jacket,85.50,26,2014-06-23,The force plans to replace this item of uniform with new style clothing in September 2015.
Equipment,./city-of-london.csv,Hi Visibility jacket,22.24,120,2014-06-08,"Long-sleeved high visibility jackets, short-sleeved high visibility jackets £12.77."
Equipment,./city-of-london.csv,Cut resistant gloves,12.95,400,2012-02-14,This stock has lasted longer than planned.
Equipment,./city-of-london.csv,Boots,72.60,17,2015-04-07,
Equipment,./city-of-london.csv,Utility belt,4.65,60,2014-03-02,
Equipment,./city-of-london.csv,General Patrol full body armour,371.30,12,2015-07-07,"Male armours, female armours £374.20."
Equipment,./city-of-london.csv,General Patrol body armour vest,,,,Not bought. The force does not issue this garment.
Equipment,./city-of-london.csv,Standard Issue Handcuffs,16.10,20,2012-01-18,The force recycles handcuffs: returned then reissued.
Equipment,./city-of-london.csv,Baton,53.20,50,2010-05-07,The force recycles batons: returned then reissued
Equipment,./city-of-london.csv,Airwave radio (hand held),500.00,1057,,Purchased in March 2011. Inc. warranty to March 2016. Covert radio £950 in 2006 exc. repeater licence £150. 
Equipment,./city-of-london.csv,Airwave radio (vehicle),561.00,4,2014-01-01,"Covert radio £1,770 in 2006 exc. Installation £831."
Equipment,./city-of-london.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,10558.80,1,2008-03-27,Vauxhall Astra purchased through framework agreement (DWP Motor Vehicle Purchase For the provision of: Motor Vehicles Framework Agreement).
Equipment,./city-of-london.csv,Compact High performance estate vehicle - fully converted,31724.64,1,2013-01-28,BMW vehicle purchased via police framework through South and South Eastern Mini Competition Group.
Equipment,./city-of-london.csv,Fully kitted cell van,18714.31,1,2011-12-23,Vauxhall Vivaro prisoner cell van purchased via police framework.
