Equipment,./dorset.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./dorset.csv,Custodian style Police Helmet,28.90,95,2015-03-30,Regional specification.
Equipment,./dorset.csv,Fleece,21.10,25,2014-09-05,Regional specification.
Equipment,./dorset.csv,Trousers,13.57,15,2014-11-13,Regional specification.
Equipment,./dorset.csv,Shirt,3.75,100,2015-07-07,"Female short-sleeved wicking shirts, male short-sleeved wicking shirts £4.05. Male long-sleeved shirts £4.60 and female long-sleeved shirts £4.31. Regional specification."
Equipment,./dorset.csv,Epaulettes,2.95,10,2015-06-19,"Sliders, epaulettes £3.25. Regional specification."
Equipment,./dorset.csv,Belt,3.27,,,Leather belts.
Equipment,./dorset.csv,Anorak/ waterproof jacket,79.20,25,2015-02-17,Regional specification.
Equipment,./dorset.csv,Hi Visibility jacket,95.00,5,2014-07-09,
Equipment,./dorset.csv,Cut resistant gloves,8.95,20,2014-06-24,
Equipment,./dorset.csv,Boots,,,,Not bought. The force does not issue boots to patrol officers.
Equipment,./dorset.csv,Utility belt,4.22,30,2014-06-27,Leather belts.
Equipment,./dorset.csv,General Patrol full body armour,224.03,5,2015-05-20,Female body armours. Regional specification.
Equipment,./dorset.csv,General Patrol body armour vest,44.00,5,2015-05-20,Regional specification.
Equipment,./dorset.csv,Standard Issue Handcuffs,16.95,10,2013-03-05,Regional specification.
Equipment,./dorset.csv,Baton,52.20,25,2013-01-21,
Equipment,./dorset.csv,Airwave radio (hand held),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,./dorset.csv,Airwave radio (vehicle),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,./dorset.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,15595.70,10,2015-04-30,"Inc. commissioning, delivery and registration."
Equipment,./dorset.csv,Compact High performance estate vehicle - fully converted,31057.70,1,2015-01-14,Inc. towbar.
Equipment,./dorset.csv,Fully kitted cell van,23090.56,4,2014-07-25,Ford transit exc. CCTV
