Equipment,./durham.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./durham.csv,Custodian style Police Helmet,28.90,40,2015-05-29,
Equipment,./durham.csv,Fleece,20.39,221,2015-07-08,
Equipment,./durham.csv,Trousers,8.95,2160,2015-03-26,
Equipment,./durham.csv,Shirt,7.50,4080,2013-09-20,
Equipment,./durham.csv,Epaulettes,1.26,200,2015-03-18,"Sliders, not epaulettes, as the force now issues wicking shirts and only high-ranking officers still wear white shirts."
Equipment,./durham.csv,Belt,3.27,210,2015-06-29,
Equipment,./durham.csv,Anorak/ waterproof jacket,,,,Not bought.
Equipment,./durham.csv,Hi Visibility jacket,89.95,166,2015-02-23,
Equipment,./durham.csv,Cut resistant gloves,13.95,80,2015-06-05,"Standard issue leather gloves in the force, information on the glove being cut resistant is not available at this time."
Equipment,./durham.csv,Boots,30.30,30,2015-07-25,"High leg boots, low leg boots £33.60."
Equipment,./durham.csv,Utility belt,6.25,30,2012-07-25,The force no longer purchases equipment belts because it now issues body armours which hold appointments.
Equipment,./durham.csv,General Patrol full body armour,335.15,11,2015-06-09,"Price of new armour. Cost may be higher than other forces due to very low volumes purchased and Durham is not signed up to a contract for body armour. It is extremely rare that the force requires to purchase new plates due to our refurbishment of plates (£50), the quantities that we have in stock and the issue of body armour to officers for re-use following staff departures."
Equipment,./durham.csv,General Patrol body armour vest,65.00,14,2015-06-09,
Equipment,./durham.csv,Standard Issue Handcuffs,16.95,100,2015-05-09,
Equipment,./durham.csv,Baton,37.96,20,2010-09-29,
Equipment,./durham.csv,Airwave radio (hand held),440.00,150,2015-03-03,Fixed desk mount unit.
Equipment,./durham.csv,Airwave radio (vehicle),475.00,10,2015-05-29,Remote mount mobile terminal.
Equipment,./durham.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14263.46,10,2015-03-04,
Equipment,./durham.csv,Compact High performance estate vehicle - fully converted,23737.46,3,2015-04-03,"Lowest unit price for one out of the three vehicles (BMW): the other two vehicles cost £23,737.46 and £29,086.11."
Equipment,./durham.csv,Fully kitted cell van,21549.95,10,2015-04-03,
