Equipment,./hertfordshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./hertfordshire.csv,Custodian style Police Helmet,28.90,30,2013-05-14,Joint purchase with Bedfordshire and Cambridgeshire. Exc. £8.50 helmet plate. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Fleece,32.95,38,2015-07-22,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Trousers,9.67,270,2015-07-28,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Shirt,4.25,2300,2015-07-23,"Male shirts, female shirts £3.95. Joint purchase with Bedfordshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police."
Equipment,./hertfordshire.csv,Epaulettes,5.00,1,2015-07-24,All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Belt,3.27,410,2015-07-22,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Anorak/ waterproof jacket,79.95,5,2015-07-22,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Hi Visibility jacket,53.90,125,2015-07-03,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Cut resistant gloves,9.70,650,2015-04-22,"Male gloves, female gloves £9.40. Joint purchase with Bedfordshire and Cambridgeshire. The force no longer issues officers with the gloves. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police."
Equipment,./hertfordshire.csv,Boots,30.30,100,2015-07-22,Order date for non-protective boots from North Wales framework - joint purchase with Bedfordshire and Cambridgeshire. Most recent purchase price for a pair of protective boots for patrol (public order) is £72.60. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Utility belt,10.25,100,2015-07-28,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,General Patrol full body armour,261.27,10,2015-04-24,"Male armours, female armours £218.24. Joint purchase with Bedfordshire and Hertfordshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police."
Equipment,./hertfordshire.csv,General Patrol body armour vest,84.93,60,2015-07-15,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Standard Issue Handcuffs,16.95,200,2015-01-19,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Baton,54.45,200,2015-06-16,22'' batons. Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,./hertfordshire.csv,Airwave radio (hand held),350.00,300,2015-03-04,Inc. extended warranty. Purchased via national airwave radio procurement framework contract.
Equipment,./hertfordshire.csv,Airwave radio (vehicle),850.00,2,2015-05-26,"Motorcycle radios inc. GPS, extended warranty and weather-proof console purchased via the national airwave radio procurement framework contract. Prices have reduced significantly over the years. The force previously purchased 476 airwave radio for vehicles (cars) through a consortium framework with Cambridgeshire, Hertfordshire and Thames Valley Police, at £1,200 exc. installation, in 2003."
Equipment,./hertfordshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,13473.00,10,2015-03-13,"Inc warning lights, livery, siren, delivery etc."
Equipment,./hertfordshire.csv,Compact High performance estate vehicle - fully converted,,,,"Not bought. Compact high performance estate not used for roads policing. Standard large high performance estate vehicle £26,540.00 in February 2015. Inc warning lights, livery, siren, delivery etc."
Equipment,./hertfordshire.csv,Fully kitted cell van,20805.00,6,2015-03-25,"Inc warning lights, livery, siren, delivery etc."
