Equipment,./surrey.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./surrey.csv,Custodian style Police Helmet,28.90,12,2015-07-14,
Equipment,./surrey.csv,Fleece,21.10,45,2015-07-14,
Equipment,./surrey.csv,Trousers,8.95,1570,2015-06-17,"Cargo, patrol trousers. The force also issues office trousers and ceremonial trousers."
Equipment,./surrey.csv,Shirt,4.50,1553,2015-06-29,"Average price given as subject to specifications (male/female, long/short sleeves, colour, length)."
Equipment,./surrey.csv,Epaulettes,4.50,29,2015-07-14,
Equipment,./surrey.csv,Belt,7.42,40,2015-07-14,The force plans to review this item.
Equipment,./surrey.csv,Anorak/ waterproof jacket,,,,Not bought. The force does not issue these garments to neighbourhood officers.
Equipment,./surrey.csv,Hi Visibility jacket,75.70,45,2015-06-29,
Equipment,./surrey.csv,Cut resistant gloves,10.60,60,2015-06-29,A decision has been made that cut resistant gloves were not required.
Equipment,./surrey.csv,Boots,,,,Not bought. The force only issues boots to specialist roles.
Equipment,./surrey.csv,Utility belt,10.87,60,2015-07-03,The force plans to review this item.
Equipment,./surrey.csv,General Patrol full body armour,291.19,6,2015-07-14,"Male armours, female armours £249.24"
Equipment,./surrey.csv,General Patrol body armour vest,39.97,4,2015-07-14,"Overt male vests, overt female vests £39.39. Covert male vests £19 and covert female vests £18.60."
Equipment,./surrey.csv,Standard Issue Handcuffs,16.95,50,2015-07-14,Rigid handcuffs. The force has recently joined the new Metropolitan Police Service contract.
Equipment,./surrey.csv,Baton,23.49,100,2011-05-19,The force refurbishes batons so the annual spend on these items is low.
Equipment,./surrey.csv,Airwave radio (hand held),350.00,,,Not bought for over three years.
Equipment,./surrey.csv,Airwave radio (vehicle),725.00,50,2015-07-01,
Equipment,./surrey.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14534.95,38,,Purchased in May-July 2015.
Equipment,./surrey.csv,Compact High performance estate vehicle - fully converted,32747.44,10,2015-06-01,"Purchased in May-July 2015, but vehicle conversion is normally carried out in-house."
Equipment,./surrey.csv,Fully kitted cell van,,,,Information is not available at this time.
